time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-06-02T00:00:00.0000000Z;2021-06-03T00:00:00.0000000Z;2021-06-02T00:01:00.0000000Z;2021-06-02T23:59:00.0000000Z;8.856380643438428E-06;1.0336202203424673E-05;8.588751569590864E-06;9.433964493524729E-06
2021-06-03T00:00:00.0000000Z;2021-06-04T00:00:00.0000000Z;2021-06-03T00:01:00.0000000Z;2021-06-03T23:59:00.0000000Z;9.425514147482271E-06;1.0373987724152389E-05;9.309378677945417E-06;9.81689686569249E-06
2021-06-04T00:00:00.0000000Z;2021-06-05T00:00:00.0000000Z;2021-06-04T00:01:00.0000000Z;2021-06-04T23:59:00.0000000Z;9.830134406337055E-06;9.832563056524525E-06;8.332137937893588E-06;8.814537847172867E-06
2021-06-05T00:00:00.0000000Z;2021-06-06T00:00:00.0000000Z;2021-06-05T00:01:00.0000000Z;2021-06-05T23:59:00.0000000Z;8.814755787187213E-06;9.1228438281637E-06;8.22299748571694E-06;8.422970486048478E-06
2021-06-06T00:00:00.0000000Z;2021-06-07T00:00:00.0000000Z;2021-06-06T00:01:00.0000000Z;2021-06-06T23:59:00.0000000Z;8.43597534853448E-06;8.63361039482179E-06;8.343381000479517E-06;8.54203528897568E-06
2021-06-07T00:00:00.0000000Z;2021-06-08T00:00:00.0000000Z;2021-06-07T00:01:00.0000000Z;2021-06-07T23:59:00.0000000Z;8.539082328495335E-06;8.714953124372152E-06;7.517541209682115E-06;7.715042712762804E-06
2021-06-08T00:00:00.0000000Z;2021-06-09T00:00:00.0000000Z;2021-06-08T00:01:00.0000000Z;2021-06-08T23:59:00.0000000Z;7.770652978605714E-06;7.877422545412786E-06;6.323243900320863E-06;7.2359893465685225E-06
2021-06-09T00:00:00.0000000Z;2021-06-10T00:00:00.0000000Z;2021-06-09T00:01:00.0000000Z;2021-06-09T23:59:00.0000000Z;7.184855774526785E-06;7.595846852698368E-06;6.856504336027033E-06;7.385641318807201E-06
2021-06-10T00:00:00.0000000Z;2021-06-11T00:00:00.0000000Z;2021-06-10T00:01:00.0000000Z;2021-06-10T23:59:00.0000000Z;7.3904643548462264E-06;7.414861618279773E-06;6.80382882288548E-06;6.831959755333273E-06
2021-06-11T00:00:00.0000000Z;2021-06-12T00:00:00.0000000Z;2021-06-11T00:01:00.0000000Z;2021-06-11T23:59:00.0000000Z;6.8436900129285616E-06;6.882784479367458E-06;6.020698036200786E-06;6.209002576701751E-06
